image_id,dimension,modality,within_mean,cross_mean
102tapSsNubXllWzP7asAW-qwMJApiWt6,gender,caption,0.9496991634368896,0.9488019347190857
102tapSsNubXllWzP7asAW-qwMJApiWt6,gender,justification,0.6774652004241943,0.6697256565093994
102tapSsNubXllWzP7asAW-qwMJApiWt6,gender,perception,0.9858516840236373,0.9857318783068784
102tapSsNubXllWzP7asAW-qwMJApiWt6,economic_status,caption,0.9695363640785217,0.9289977550506592
102tapSsNubXllWzP7asAW-qwMJApiWt6,economic_status,justification,0.7350049614906311,0.6122817993164062
102tapSsNubXllWzP7asAW-qwMJApiWt6,economic_status,perception,0.9860283011368153,0.9855555555555555
102tapSsNubXllWzP7asAW-qwMJApiWt6,political_spectrum,caption,0.9500126838684082,0.9484888911247253
102tapSsNubXllWzP7asAW-qwMJApiWt6,political_spectrum,justification,0.6913644671440125,0.6558495759963989
102tapSsNubXllWzP7asAW-qwMJApiWt6,political_spectrum,perception,0.9860100166944908,0.9855738095238097
102tapSsNubXllWzP7asAW-qwMJApiWt6,personality,caption,0.9542936682701111,0.946734607219696
102tapSsNubXllWzP7asAW-qwMJApiWt6,personality,justification,0.7023821473121643,0.6592332124710083
102tapSsNubXllWzP7asAW-qwMJApiWt6,personality,perception,0.9862378167641325,0.985569246031746
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,gender,caption,0.9748708009719849,0.9746571183204651
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,gender,justification,0.6456543803215027,0.641543984413147
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,gender,perception,0.8220270556748018,0.8222296296296296
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,economic_status,caption,0.9768901467323303,0.9726413488388062
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,economic_status,justification,0.690932035446167,0.5963417887687683
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,economic_status,perception,0.8561627845350716,0.7881507936507935
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,political_spectrum,caption,0.9754595160484314,0.9740694165229797
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,political_spectrum,justification,0.6719090938568115,0.615333080291748
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,political_spectrum,perception,0.8346745899250072,0.8096031746031745
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,personality,caption,0.9752118587493896,0.9745404720306396
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,personality,justification,0.6781803369522095,0.6263492107391357
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,personality,perception,0.8519089390142021,0.8072753968253968
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,gender,caption,0.8692805767059326,0.8683052062988281
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,gender,justification,0.6108205318450928,0.6084561944007874
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,gender,perception,0.34520646514031317,0.33787293099647264
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,economic_status,caption,0.9034287333488464,0.83421391248703
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,economic_status,justification,0.7202206254005432,0.4992384612560272
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,economic_status,perception,0.4966111574846967,0.18672057980599646
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,political_spectrum,caption,0.8729339838027954,0.8646578192710876
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,political_spectrum,justification,0.624485194683075,0.5948143005371094
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,political_spectrum,perception,0.36646705819222514,0.3166477722663139
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,personality,caption,0.8784528970718384,0.8639742732048035
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,personality,justification,0.6504178643226624,0.5892981290817261
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,personality,perception,0.40714081002771474,0.3088165600198413
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,gender,caption,0.9018758535385132,0.8992512226104736
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,gender,justification,0.6907099485397339,0.6826367974281311
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,gender,perception,0.7202532439427265,0.7078967813051147
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,economic_status,caption,0.9156230092048645,0.8855268955230713
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,economic_status,justification,0.7271947860717773,0.6462128162384033
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,economic_status,perception,0.7282445058342387,0.6999188381834216
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,political_spectrum,caption,0.9080851674079895,0.8930522799491882
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,political_spectrum,justification,0.7110677361488342,0.662312924861908
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,political_spectrum,perception,0.7648519688899488,0.6633723875661376
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,personality,caption,0.9053751826286316,0.8981621265411377
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,personality,justification,0.7190188765525818,0.6705359816551208
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,personality,perception,0.7610184024877008,0.6906542741402116
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,gender,caption,0.9073882102966309,0.8981830477714539
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,gender,justification,0.6202213764190674,0.6179293394088745
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,gender,perception,0.8528649601187163,0.8263518518518519
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,economic_status,caption,0.9143298864364624,0.8912529349327087
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,economic_status,justification,0.664267897605896,0.5739562511444092
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,economic_status,perception,0.8808616212205527,0.7984018518518518
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,political_spectrum,caption,0.909436047077179,0.8961385488510132
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,political_spectrum,justification,0.6845081448554993,0.5537497401237488
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,political_spectrum,perception,0.8554989797811168,0.8237222222222222
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,personality,caption,0.905325174331665,0.9015132784843445
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,personality,justification,0.648027241230011,0.6046342253684998
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,personality,perception,0.839618490671122,0.8395868055555554
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,gender,caption,0.9881290197372437,0.9880592823028564
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,gender,justification,0.5080428123474121,0.49036526679992676
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,gender,perception,0.9962067731934177,0.9961904761904763
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,economic_status,caption,0.9881042838096619,0.9880840182304382
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,economic_status,justification,0.5508065819740295,0.44767284393310547
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,economic_status,perception,0.9962067731934177,0.9961904761904763
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,political_spectrum,caption,0.9881103038787842,0.9880780577659607
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,political_spectrum,justification,0.5216736197471619,0.4767572581768036
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,political_spectrum,perception,0.9962067731934177,0.9961904761904762
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,personality,caption,0.9883583188056946,0.9879623055458069
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,personality,justification,0.5395329594612122,0.479079008102417
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,personality,perception,0.9962149421171977,0.9961904761904763
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,gender,caption,0.9477313160896301,0.9434127807617188
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,gender,justification,0.5847514271736145,0.5801401138305664
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,gender,perception,0.42647004928849663,0.41949856481481484
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,economic_status,caption,0.946501612663269,0.9446402788162231
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,economic_status,justification,0.6191993951797485,0.5457495450973511
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,economic_status,perception,0.4707922043794331,0.37525027998236327
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,political_spectrum,caption,0.9472877383232117,0.9438554644584656
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,political_spectrum,justification,0.6132968664169312,0.5516422986984253
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,political_spectrum,perception,0.5151884313361775,0.3309280467372134
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,personality,caption,0.9517860412597656,0.9424700140953064
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,personality,justification,0.6416832208633423,0.5528981685638428
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,personality,perception,0.4874532677593455,0.39082605572089946
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,gender,caption,0.9662197232246399,0.9646927118301392
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,gender,justification,0.7709424495697021,0.76877361536026
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,gender,perception,0.6696466862760685,0.6691140608465608
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,economic_status,caption,0.9698570370674133,0.9610614776611328
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,economic_status,justification,0.7943896651268005,0.7453654408454895
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,economic_status,perception,0.678303852982484,0.6604713227513227
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,political_spectrum,caption,0.9675189256668091,0.9633956551551819
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,political_spectrum,justification,0.7815548777580261,0.7581790089607239
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,political_spectrum,perception,0.8082624214961442,0.5307293518518518
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,personality,caption,0.9666337966918945,0.9648680090904236
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,personality,justification,0.7950571775436401,0.7572886347770691
