image_id,caption_sim,n_personas,sentiment_agreement,majority_sentiment,label_jaccard
102tapSsNubXllWzP7asAW-qwMJApiWt6,0.94925016,1200,1.0,Negative,0.9857917312045753
103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,0.9747639,1200,1.0,Neutral,0.822128427128427
10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,0.8687925,1200,0.530859049207673,SlightlyPositive,0.34153663988067656
11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,0.90056247,1200,1.0,SlightlyNegative,0.7140698598038048
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,0.9027817,1200,1.0,Negative,0.8395973496432211
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,0.98809415,1200,1.0,Neutral,0.9961986178958655
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,0.9455703,1200,0.5300305810397553,Neutral,0.42298139984378513
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,0.9654556,1200,1.0,SlightlyNegative,0.6693801514489587
160nowuoebdBnrXT3OgLQmAXD-qAJdkhn,0.97188497,1200,1.0,Negative,0.8306440552312111
16G9fyPvX0wNHmwpIz9Vmx4TZPzi6H1by,0.89290905,1200,1.0,Negative,0.7794464964189735
16nwQtJeucg4qnhhT7vOZlCThfWr9ldn8,0.99832666,1200,0.9752919099249374,SlightlyNegative,0.6852492801540967
183xelmd0KIfYZwqufkbw8T5Q0bUFu_RR,0.9699265,1200,0.8415568529329998,Neutral,0.7564126642131228
1A-jAaJGMuowD6_ZwcKfoxUFD1VE03Hjr,0.9268209,1200,0.9246719488462608,SlightlyPositive,0.5164718294787102
1C7EFJIu3VvSW5yNsdzCo02TfvOZ6NK9T,0.9644155,1200,1.0,Neutral,0.7985407416233103
1DHpbzTqPkTr2dZbVQTAWaQKf4GlxDfps,0.84870565,1199,0.7353554227855433,Neutral,0.6767024421226379
1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig,0.88742757,1200,1.0,Neutral,0.44378225737056004
1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E,0.78283954,1200,1.0,Neutral,0.6523087956895296
1HViKSthdMW2OR8-KpSmEsWqC5upS1Wb-,0.837768,1200,0.536969696969697,Negative,0.6437554443517747
1KCqQjSq3QRcBuByJxY87Xb--4lmy8mnr,0.9921266,1200,0.5129329997219906,Positive,0.6132778042548686
1Q_gMcjg8yrq2M7OCj1uBySMtP03fZgx-,0.9376054,1200,0.7471281623575201,Neutral,0.5897759707163377
1Qc6MdxjsuI8dWcauI1lP-kf8VyhE7u-Z,0.77901244,1200,0.551898804559355,SlightlyNegative,0.4501420826879543
1RL3a1P0MAEe7b91QhSX-L6oBRP76YNZm,0.8849311,1200,1.0,Neutral,0.42554918781524287
1RMftDANDs5S8TJ3e7aHCrPpuCAd9xtda,0.80635285,1200,1.0,Negative,0.5952416089686732
1SF9dCdqBX2lAPgUBP0_ucp6WHDf5j3jS,0.8501753,1200,1.0,SlightlyNegative,0.7922636588691635
