roberta_label,roberta_score
Negative,0.9483442902565002
Positive,0.6898596882820129
Negative,0.7923164963722229
Negative,0.6752337217330933
Neutral,0.6368849873542786
Negative,0.9000230431556702
Negative,0.9310590028762817
Negative,0.8312103152275085
Negative,0.8820003271102905
Neutral,0.7339025139808655
Positive,0.9140003323554993
Positive,0.9209891557693481
Negative,0.9371848702430725
Negative,0.9147601127624512
Neutral,0.5287141799926758
Positive,0.8207560181617737
Positive,0.9121178984642029
Negative,0.8842607140541077
Negative,0.9138017892837524
Negative,0.9204241633415222
Neutral,0.7397037744522095
Positive,0.9061750173568726
Negative,0.9587915539741516
Negative,0.8829130530357361
Negative,0.9115245342254639
Negative,0.9415184259414673
Positive,0.8409303426742554
Positive,0.9459745287895203
Negative,0.9272608160972595
Negative,0.9364839196205139
Negative,0.5018491744995117
Negative,0.9157235026359558
Negative,0.9472984075546265
Negative,0.9194918870925903
Positive,0.8895210027694702
Neutral,0.7858909368515015
Negative,0.9438261389732361
Negative,0.9133484959602356
Positive,0.8385665416717529
Positive,0.8799453377723694
Neutral,0.7075437307357788
Negative,0.9270706176757812
Negative,0.9155688285827637
Neutral,0.6969795823097229
Negative,0.8832794427871704
Neutral,0.46383678913116455
Neutral,0.5533355474472046
Neutral,0.7447008490562439
Negative,0.9070088863372803
Positive,0.8031618595123291
Negative,0.8562263250350952
Positive,0.6165498495101929
Negative,0.8881347179412842
Neutral,0.5218983292579651
Positive,0.7183040976524353
Negative,0.890963077545166
Negative,0.9248831868171692
Negative,0.8246755599975586
Negative,0.916488766670227
Neutral,0.489044189453125
Positive,0.9201399683952332
Neutral,0.623349130153656
Negative,0.8876491189002991
Negative,0.9536368250846863
Positive,0.947576105594635
Positive,0.7950901389122009
Positive,0.9170957803726196
Negative,0.9024744033813477
Negative,0.6232046484947205
Negative,0.8505916595458984
Positive,0.7555992007255554
Positive,0.93155437707901
Negative,0.9207977056503296
Positive,0.8204231858253479
Negative,0.9250990152359009
Negative,0.8958665132522583
Positive,0.9291020631790161
Positive,0.948837399482727
Negative,0.9192185997962952
Negative,0.9395092129707336
Neutral,0.5720961689949036
Negative,0.9450579881668091
Negative,0.9187265038490295
Negative,0.845673143863678
Positive,0.949110746383667
Neutral,0.578888475894928
Negative,0.9282469749450684
Negative,0.9274658560752869
Positive,0.9547759294509888
Positive,0.7877600789070129
Positive,0.7821792960166931
Negative,0.889208972454071
Negative,0.8664037585258484
Negative,0.4884922206401825
Negative,0.8249954581260681
Neutral,0.6293314695358276
Neutral,0.46557891368865967
Positive,0.5297664999961853
Negative,0.9526152610778809
Positive,0.971903383731842
Negative,0.8414413332939148
Negative,0.6138633489608765
Negative,0.7435560822486877
Neutral,0.521713137626648
Neutral,0.7594510912895203
Negative,0.8646199107170105
Negative,0.7609997987747192
Neutral,0.529660701751709
Negative,0.8371607065200806
Neutral,0.5221748948097229
Positive,0.9757485389709473
Positive,0.7160078883171082
Negative,0.9321390390396118
Negative,0.9217177033424377
Positive,0.5688005685806274
Neutral,0.4688693881034851
Positive,0.7950244545936584
Negative,0.8915559649467468
Negative,0.8756716847419739
Negative,0.9279618263244629
Positive,0.8127416968345642
Positive,0.8881911039352417
Negative,0.9089854955673218
Neutral,0.6088364124298096
Negative,0.8926306366920471
Negative,0.9211142659187317
Positive,0.9575180411338806
Positive,0.8707517981529236
Negative,0.8864887356758118
Negative,0.9284461736679077
Positive,0.8822579979896545
Negative,0.9327053427696228
Negative,0.937127411365509
Negative,0.8926125168800354
Positive,0.890352725982666
Negative,0.5714887380599976
Negative,0.9423062205314636
Negative,0.8666229844093323
Positive,0.9431437253952026
Positive,0.7779490947723389
Neutral,0.5918572545051575
Negative,0.9010260105133057
Negative,0.8974557518959045
Neutral,0.6224043369293213
Negative,0.8675309419631958
Negative,0.5979838967323303
Negative,0.5936351418495178
Neutral,0.7171894907951355
Negative,0.8616058230400085
Positive,0.9763432145118713
Negative,0.9232886433601379
Positive,0.6112544536590576
Negative,0.9053385257720947
Negative,0.9027730822563171
Neutral,0.42937901616096497
Negative,0.8909631967544556
Negative,0.9307339191436768
Neutral,0.6342388391494751
Negative,0.9230138063430786
Neutral,0.610022246837616
Positive,0.890290379524231
Positive,0.6229506731033325
Negative,0.9587915539741516
Negative,0.9279895424842834
Positive,0.8563483953475952
Positive,0.8268914818763733
Positive,0.9343468546867371
Negative,0.8850029706954956
Negative,0.929386556148529
Negative,0.9143313765525818
Positive,0.6990578174591064
Positive,0.9746758341789246
Negative,0.9350645542144775
Negative,0.9004887342453003
Negative,0.9416621327400208
Negative,0.9153343439102173
Positive,0.45289742946624756
Positive,0.9283856749534607
Negative,0.9265895485877991
Negative,0.9207048416137695
Neutral,0.47334131598472595
Negative,0.9211721420288086
Negative,0.9283075928688049
Negative,0.8444193005561829
Positive,0.9294149279594421
Negative,0.6324725151062012
Negative,0.9315298795700073
Negative,0.895304262638092
Positive,0.8240166306495667
Positive,0.9006698727607727
Neutral,0.7487808465957642
Negative,0.9011960029602051
Negative,0.9202072024345398
Neutral,0.6986472606658936
Negative,0.9063517451286316
Positive,0.6858986616134644
Negative,0.5134377479553223
Neutral,0.5618352293968201
Negative,0.9174330830574036
Positive,0.6325616240501404
Negative,0.9141971468925476
Positive,0.6281442046165466
Negative,0.8366230130195618
Neutral,0.5407174825668335
Neutral,0.4932610094547272
Negative,0.8875908851623535
Negative,0.9074208736419678
Negative,0.6845923662185669
Negative,0.8584473729133606
Neutral,0.5330919027328491
Positive,0.9500586986541748
Positive,0.6137208342552185
Negative,0.9311596751213074
Negative,0.9519859552383423
Neutral,0.5948673486709595
Positive,0.8911798000335693
Positive,0.7447986006736755
Negative,0.8963583111763
Negative,0.9138981699943542
Negative,0.9106205105781555
Neutral,0.601828932762146
